,Unnamed: 0,Company,Rank,Review_score,Date_review,Job,Recommandation,Approb CEO,Perspective,Pros,Cons
0,0,McDonald's,"3,5","5,0",15 janv. 2024,chef de secteur GMS,,,,TextToTextResult(text='Restaurant title paid leave atmosphere.'),TextToTextResult(text='Very little hourly management fixed variable very little or nothing hourly management fixed variable very little or nothing hourly management fixed variable very little or nothing hourly management fixed variable very little or nothing hourly management fixed variable very little or nothing hourly')
1,1,McDonald's,"3,5","2,0",11 déc. 2023,Employé anonyme,,,,"TextToTextResult(text=""McDonald's often offers flexible schedules, which may suit students, part-time workers, or those with personal commitments. Advancement Opportunities: McDonald's often encourages internal promotion, providing employees with the opportunity to advance their careers within"")","TextToTextResult(text='Working in a fast food restaurant can be physically and mentally demanding, with intensive work periods, particularly during peak hours. often minimum wage: Wages in the fast food industry are sometimes close to minimum wage, which can make it difficult to maintain')"
2,2,McDonald's,"3,5","3,0",18 sept. 2023,Équipier Polyvalent Mac Donald's,good,neutral,neutral,"TextToTextResult(text='Being versatile, you will learn several functions, whether in the kitchen, at the counter, at the cash register or managing drive-thru orders. Adaptability: Working in different roles builds adaptability, which is a valuable skill')","TextToTextResult(text='The need to master multiple functions can be stressful, especially during peak hours. continuing training: with updated procedures or the introduction of new products, training can be constant. physical demands: Depending on the positions you hold, the work may be physically')"
3,3,McDonald's,"3,5","1,0",6 nov. 2023,Employé anonyme,,,,"TextToTextResult(text=""Working at McDonald's can give you valuable experience in the fast food industry. you can learn skills in customer service, time management and teamwork. flexible hours: McDonald's often offers flexible hours, which may work for students or those who"")","TextToTextResult(text='Working in fast food can be stressful, especially during peak hours. Customers can be demanding, and there can be pressure to serve quickly. Salary: Salaries in the fast food industry are generally not high, especially for entry-level employees.')"
4,4,McDonald's,"3,5","5,0",7 janv. 2024,employé polyvalente de restauration,good,neutral,neutral,"TextToTextResult(text='It is quite easy to get a first job if you are motivated of course. the team is great, always ready to help you in any circumstance.')","TextToTextResult(text=""The customers can be a little rough sometimes, but the managers are there to support you and manage conflicts. apart from that, the closing times (midnight or 1 a.m.) but that's the concept of the brand"")"
5,5,McDonald's,"3,5","5,0",14 janv. 2024,Assistant Manager (McDonalds),,,,TextToTextResult(text='Well paid and very well organized.'),TextToTextResult(text='The hours are sometimes less good.')
6,6,McDonald's,"3,5","3,0",15 janv. 2024,Employé anonyme,,,,TextToTextResult(text='It is good to make ends meet.'),TextToTextResult(text='Customers sometimes complicated to manage.')
7,7,McDonald's,"3,5","4,0",15 janv. 2024,Employé anonyme,good,neutral,neutral,TextToTextResult(text='Working hours and days are the choice of working hours and days.'),TextToTextResult(text='Catering hours (9 a.m.-1 a.m.)')
8,8,McDonald's,"3,5","5,0",13 janv. 2024,Assistant Manager (McDonalds),good,,good,"TextToTextResult(text='Flexible hours, two days off, rtt, free meal.')",TextToTextResult(text='The salary is low compared to the work.')
9,9,McDonald's,"3,5","2,0",14 janv. 2024,Préparateur De Commande,bad,bad,bad,"TextToTextResult(text='Good atmosphere, variable schedule, and a good atmosphere.')","TextToTextResult(text='Our dirty, disrespectful and nasty customers are dirty, disrespectful and nasty customers.')"
10,10,Amazon,"3,7","5,0",15 janv. 2024,Manager,good,good,good,TextToTextResult(text='I have been working at the company for a while and the working environment is very comfortable.'),TextToTextResult(text='Working hours during shift working hours are also working hours during shift working hours.')
11,11,Amazon,"3,7","3,0",24 déc. 2023,Senior Vendor Manager,bad,neutral,good,"TextToTextResult(text='-competitive package when we take into account the shares (which we become the owner of after several years) -premises renovated in 2020 and well equipped, but quite out of the way in Clichy on line 13 (')","TextToTextResult(text='-sprawling company: illegible organization chart, fragmented and redundant responsibilities, silo operation. -centralized operation: no room left for local initiative or innovation (fr market insignificant after us')"
12,12,Amazon,"3,7","1,0",10 janv. 2024,Agent exploitation logistique,bad,bad,bad,"TextToTextResult(text='A reduction code which does not work on absolutely anything on the site, eligible bonuses but only with two years of seniority in short, only the eyes to cry what.')",TextToTextResult(text='Management 0 big pressure no feeling of appreciation for work forget your health.')
13,13,Amazon,"3,7","4,0",9 janv. 2024,Préparateur De Commande,,,,TextToTextResult(text='- salary a little higher than the minimum wage - good atmosphere - good atmosphere.'),TextToTextResult(text='- fairly physical work with risk of injury if safety rules are not respected.')
14,14,Amazon,"3,7","2,0",12 janv. 2024,agent de tri,bad,,,"TextToTextResult(text='Free hot drinks, large rest room, and free hot drinks.')","TextToTextResult(text='No rest time, carrying heavy loads up to 15kg.')"
15,15,Amazon,"3,7","5,0",11 janv. 2024,Agent de piste aéroportuaire,good,neutral,neutral,TextToTextResult(text='Very good pay and flexible hours.'),"TextToTextResult(text='Very physical, but it’s a blessing in disguise.')"
16,16,Amazon,"3,7","3,0",11 janv. 2024,Brand Specialist,good,neutral,good,TextToTextResult(text='Nice and young people have flexibility on their schedules.'),TextToTextResult(text='Too much workload is too much.')
17,17,Amazon,"3,7","2,0",10 janv. 2024,Buyer,,,,TextToTextResult(text='It is ok to start shopping.'),TextToTextResult(text='Little recognition from managers.')
18,18,Amazon,"3,7","5,0",6 janv. 2024,Area Manager II,good,good,good,TextToTextResult(text='Freedom in your work management and speed of processes.'),TextToTextResult(text='5/8 difficult for health.')
19,19,Amazon,"3,7","2,0",4 janv. 2024,Préparateur De Commande,bad,bad,bad,TextToTextResult(text='The coffee machine is free.'),TextToTextResult(text='The salary above all else is a piece of advice: the salary above all else.')
20,20,Accenture,"3,8","5,0",7 nov. 2023,Consultant,,,,TextToTextResult(text='Interesting projects and teams of experts in several fields.'),"TextToTextResult(text='The workload, which is always high, is always high.')"
21,21,Accenture,"3,8","4,0",21 nov. 2023,Manager,good,neutral,good,"TextToTextResult(text='2 months of paternity leave including 1 offered by the company, teleworking 2 to 3 days/week - high salary - promotions with significant salary increases (+10/15/20/30% depending on the levels) - very interesting')","TextToTextResult(text=""- internal mobility (change of 'practice') extremely difficult - administrative burden (tools, HR processes, mandatory annual training) - correct training catalog but few courses (certified in particular) marked out to guide employees "")"
22,22,Accenture,"3,8","1,0",4 déc. 2023,Project Director,bad,good,bad,TextToTextResult(text='Great accounts and great missions when there are any.'),TextToTextResult(text='You are drowned in the crowd / the end of the carplan (and so much the better because if you leave before the end of the contract you have to pay between 2 and 15k€ out of your pocket) ')
23,23,Accenture,"3,8","5,0",9 janv. 2024,Senior Manager,good,,good,TextToTextResult(text='Accenture is at the forefront of all transformation programs. it is a firm that listens to the aspirations of these collaborators.'),"TextToTextResult(text='According to the cases and situations, promotions may take time depending on the economic context.')"
24,24,Accenture,"3,8","4,0",13 janv. 2024,Business Analyst,,,,"TextToTextResult(text='Many social benefits, balanced salary, and a variety of social benefits.')",TextToTextResult(text='Nothing noted at the moment.')
25,25,Accenture,"3,8","5,0",12 janv. 2024,Manager,,,,"TextToTextResult(text='Ce, pee, participation and profit-sharing.')","TextToTextResult(text='Many processes due to the size of the structure are due to the internal politics, many processes due to the size of the structure.')"
26,26,Accenture,"3,8","5,0",12 janv. 2024,Package Applications Specialist,good,neutral,good,TextToTextResult(text='Accenture is a great company!'),TextToTextResult(text='The disadvantages inherent to an international company are inherent to an international company.')
27,27,Accenture,"3,8","5,0",3 janv. 2024,Analyste,,,,"TextToTextResult(text='Numerous learning opportunities, varied and interesting missions, constructive management based on trust (both in the relationship and the management of work for example), numerous benefits in kind.')",TextToTextResult(text='The practice mode of operation (common in many practices) has limitations linked to the practice mode of operation.')
28,28,Accenture,"3,8","4,0",11 janv. 2024,Consultant,good,,,"TextToTextResult(text='Diversity of missions provides enriching experiences, enriching experiences, and diversity of missions.')","TextToTextResult(text='Apart from that, nothing to report.')"
29,29,Accenture,"3,8","2,0",31 oct. 2023,Manager,bad,bad,bad,"TextToTextResult(text='- a nice name on the CV... for now. - a majority of interesting colleagues, “well-rounded heads"".')",TextToTextResult(text='Accenture is the next IBM and risks collapsing in the coming years because of strategic reversals and salary policies that alienate it from its greatest strength: its employees.')
30,30,Deloitte,"4,0","5,0",9 janv. 2024,Senior Consultant,good,good,good,TextToTextResult(text='Supervision of employee development excellence in delivery very competent teams.'),TextToTextResult(text='The workload is sometimes high and fluctuating.')
31,31,Deloitte,"4,0","1,0",21 déc. 2023,Senior Consultant,bad,,bad,TextToTextResult(text='This restaurant check that is just about everything.'),"TextToTextResult(text='Low blows and malice are tolerated, and judging by certain promotions, rewarded. far-fetched staffing logic, where “collaborators” are placed in billable roles, but which have nothing to do with their')"
32,32,Deloitte,"4,0","4,0",15 janv. 2024,Consultant,,,,TextToTextResult(text='Very few benefits other than salary.'),TextToTextResult(text='No real downsides either.')
33,33,Deloitte,"4,0","4,0",8 janv. 2024,Auditeur Financier - Junior,,,,"TextToTextResult(text='Network, culture of excellence and mentoring have developed a network, culture of excellence and a culture of excellence.')","TextToTextResult(text='Remote colleagues, frequent pivot, schedules.')"
34,34,Deloitte,"4,0","3,0",5 janv. 2024,Senior Auditor,,,,TextToTextResult(text='Good springboard empowerment good prospect of development.'),"TextToTextResult(text='Large company therefore difficult integration given the number, high turnover, work-life balance and high turnover.')"
