,Titre,Entreprise,Lieu,job_id,url_poste,url_company,Compétences,Salaire,Type de poste,Horaires,CEO,Date création,Nb_employés,Score humain,Satisfaction salariale,,Direction,Culture d'entreprise,Sécurité et évolution,Salaire et avantages,Équilibre vie privée/professionnelle,Company name eco,Eco score
0,Data Analyst | POEI,DataScientest,Paris (75),5f6e4282d7a40c8b,https://fr.indeed.com/viewjob?jk=5f6e4282d7a40c8b,https://fr.indeed.com/cmp/Cyber-University,"['UNIX', 'SQL', 'Python']",['De 33 000 € à 50 000 € par an'],"['CDI', 'Temps plein', 'cadre']","['Période de travail de 8 Heures', 'Travail en journée']",,,,,,,,,,,,DataScientest,0
1,Analyste données / Data analyst - Risque de crédit (H/F),CONFEDERATION NATIONALE DU CREDIT MUTUEL,Télétravail hybride à 75017 Paris,eb053460a80567d0,https://fr.indeed.com/viewjob?jk=eb053460a80567d0,https://fr.indeed.com/cmp/Cr%C3%A9dit-Mutuel-Alliance-F%C3%A9d%C3%A9rale,"['SPSS', 'SAS', 'R']",['De 45 000 € à 60 000 € par an'],"['CDI', 'Temps plein']",[],Daniel Baal,1882,10 000,,,,"3,5","3,8","3,6","3,7","3,9",CONFEDERATION NATIONALE DU CREDIT MUTUEL,0
2,Stage - Data Quality Analyst H/F,BUSINESS FRANCE,Télétravail hybride à 75014 Paris 14e,50c4b30fada983c6,https://fr.indeed.com/viewjob?jk=50c4b30fada983c6,https://fr.indeed.com/cmp/Business-France,"['SQL', 'Power BI', 'DevOps']",['1 000 € par mois'],['Stage'],"['Travail en journée', 'Du lundi au vendredi']",Christophe LECOURTIER,,201 à 500,,,,"3,0","3,0","2,9","3,1","3,8",BUSINESS FRANCE,0
3,"Analyst, Insights & Analytics (6 Month Maternity Cover)",Warner Bros Careers,Neuilly-sur-Seine (92),7b3b83a16b1c1469,https://fr.indeed.com/viewjob?jk=7b3b83a16b1c1469,https://fr.indeed.com/cmp/Warner-Bros.-Discovery-1,"[""Sens de l'organisation"", 'SQL', 'Python']",[],['Temps plein'],[],David Zaslav,,10 000,,,,"3,4","3,7","3,3","3,9","3,8",Warner Bros Careers,0
4,Business Analyst Produits (H/F) SANOFI,Kelly TERTIAIRE,94250 Gentilly,e37694f94c021038,https://fr.indeed.com/viewjob?jk=e37694f94c021038,https://fr.indeed.com/cmp/Kelly-06fec076,"['SAP Finance & Controlling\n (Required)', 'Microsoft Office\n (Required)', 'Microsoft Excel\n (Required)', 'Anglais\n (Required)']",['De 41 000 € à 42 000 € par an'],"['Intérim', 'Temps plein']",['Période de travail de 8 Heures'],Peter Quigley,1946,5 001 à 10 000,,,,"3,5","3,6","3,1","3,2","3,8",Kelly TERTIAIRE,0
5,Stage (6 mois) – Data Analyst - Paris,BPCE SA,Paris (75),2cd3f482bbe07be8,https://fr.indeed.com/viewjob?jk=2cd3f482bbe07be8,https://fr.indeed.com/cmp/Groupe-Bpce,"['Visualisation de données', 'SQL', 'SAS']",[],['Stage'],[],Nicolas Namias,2009,10 000,,,,"2,9","3,1","3,0","3,2","3,5",BPCE SA,0
6,Stage (6 mois) – Data Analyst Risques F/H – Paris,BPCE SA,Paris (75),1a3083cc6474c747,https://fr.indeed.com/viewjob?jk=1a3083cc6474c747,https://fr.indeed.com/cmp/Groupe-Bpce,"['SQL', 'SAS', 'Power BI']",[],['Stage'],[],Nicolas Namias,2009,10 000,,,,"2,9","3,1","3,0","3,2","3,5",BPCE SA,0
7,Business Analyst IT confirmé F/H (DSI/DWS),RATP,Paris (75),97bd465ae6dc2666,https://fr.indeed.com/viewjob?jk=97bd465ae6dc2666,https://fr.indeed.com/cmp/Ratp,['Service client'],['À partir de 48 000 € par an'],['CDI'],[],Jean Castex,1948,10 000,,,,"3,2","3,5","3,6","3,7","3,4",RATP Dev Angers,1
8,Data Analyst (F/H/X),Garance,Télétravail hybride à 75009 Paris 9e,430fcc75ddc00417,https://fr.indeed.com/viewjob?jk=430fcc75ddc00417,https://fr.indeed.com/cmp/Garance-Mutuelle,"['Service client', 'Oracle', 'Azure']",['De 45 000 € à 55 000 € par an'],"['CDI', 'Temps plein']","['Horaires flexibles', 'Travail en journée', 'Du lundi au vendredi']",Virginie HAUSWALD,1986,201 à 500,,,,"2,7","3,5","3,0","3,5","4,4",Garance,0
9,STAGE - Business Analyst / Data Analyst - Suivi de valorisation des produits digitaux D&W - F/H,TotalEnergies,Paris (75),83d18b12f2e6bf1d,https://fr.indeed.com/viewjob?jk=83d18b12f2e6bf1d,https://fr.indeed.com/cmp/Totalenergies,['Power BI'],[],"[""Courte durée jusqu'à 6 mois"", 'Stage']",[],Patrick Pouyanné,1924,10 000,,,,"3,5","3,7","3,5","3,7","3,8",TotalEnergies,0
10,Operations Data Analyst H/F,DASSAULT SYSTEMES,Vélizy-Villacoublay (78),1e1e8751b6dbe752,https://fr.indeed.com/viewjob?jk=1e1e8751b6dbe752,https://fr.indeed.com/cmp/C--log-2,[],[],['CDI'],[],,2002,501 à 1 000,,,,"2,5","3,0","3,0","3,5","4,3",DASSAULT SYSTEMES,0
11,Business Analyst - F/H,BPCE SA,Télétravail hybride à Paris (75),4b9ad41308364668,https://fr.indeed.com/viewjob?jk=4b9ad41308364668,https://fr.indeed.com/cmp/Groupe-Bpce,"['SQL', ""Esprit d'analyse"", 'Agile']",[],['CDI'],[],Nicolas Namias,2009,10 000,,,,"2,9","3,1","3,0","3,2","3,5",BPCE SA,0
12,Data Analyst (h/f),LHH Recruitment Solutions-,Boulogne-Billancourt (92),a29dcb66157ab223,https://fr.indeed.com/viewjob?jk=a29dcb66157ab223,https://fr.indeed.com/cmp/C--log-2,[],[],['CDI'],[],,2002,501 à 1 000,,,,"2,5","3,0","3,0","3,5","4,3",LHH Recruitment Solutions-,0
13,Data Analyst (H/F),IN'LI,92800 Puteaux,b4151d3fe38ee722,https://fr.indeed.com/viewjob?jk=b4151d3fe38ee722,https://fr.indeed.com/cmp/In'li,"['Power BI', 'Microsoft SQL Server', 'ETL', 'Agile']",[],['CDI'],[],,,501 à 1 000,,,,"2,6","3,1","2,9","3,2","3,2",IN'LI,0
14,Stage (6 mois) – Data Analyst F/H – Paris,BPCE SA,Paris (75),00dcfd5976d3a55c,https://fr.indeed.com/viewjob?jk=00dcfd5976d3a55c,https://fr.indeed.com/cmp/Groupe-Bpce,"['Veille économique', 'SQL', 'SAS']",[],['Stage'],[],Nicolas Namias,2009,10 000,,,,"2,9","3,1","3,0","3,2","3,5",BPCE SA,0
